player,pos,age,team_id,g,mp,pts,trb,ast,fg_pct,fg3_pct,efg_pct,stl,blk,tov
Mikal Bridges,SF,27,BRK,82,34.8,19.6,4.5,3.6,.436,.372,.521,1.0,0.4,2.0
Jalen Green,SG,21,HOU,82,31.7,19.6,5.2,3.5,.423,.332,.498,0.8,0.3,2.3
Zach LaVine,SG,28,CHI,25,34.9,19.5,5.2,3.9,.452,.349,.531,0.8,0.3,2.1
Devin Vassell,SG,23,SAS,68,33.1,19.5,3.8,4.1,.472,.372,.550,1.1,0.3,1.6
Domantas Sabonis,C,27,SAC,82,35.7,19.4,13.7,8.2,.594,.379,.609,0.9,0.6,3.3
Bam Adebayo,C,26,MIA,71,34.0,19.3,10.4,3.9,.521,.357,.529,1.1,0.9,2.3
Coby White,PG,23,CHI,79,36.5,19.1,4.5,5.1,.447,.376,.534,0.7,0.2,2.1
Jalen Williams,PF,22,OKC,71,31.3,19.1,4.0,4.5,.540,.427,.592,1.1,0.6,1.7
Collin Sexton,SG,25,UTA,78,26.6,18.7,2.6,4.9,.487,.394,.549,0.8,0.2,2.1
Bradley Beal,SG,30,PHO,53,33.3,18.2,4.4,5.0,.513,.430,.582,1.0,0.5,2.5
Darius Garland,PG,24,CLE,57,33.4,18.0,2.7,6.5,.446,.371,.524,1.3,0.1,3.1
D'Angelo Russell,PG,27,LAL,76,32.7,18.0,3.1,6.3,.456,.415,.560,0.9,0.5,2.1
Nikola Vučević,C,33,CHI,76,34.3,18.0,10.5,3.3,.484,.294,.522,0.7,0.8,1.6
Klay Thompson,SF,33,GSW,77,29.7,17.9,3.3,2.3,.432,.387,.551,0.6,0.5,1.5
Jordan Poole,SG,24,WAS,78,30.1,17.4,2.7,4.4,.413,.326,.491,1.1,0.3,2.4
Fred VanVleet,PG,29,HOU,73,36.8,17.4,3.8,8.1,.416,.387,.527,1.4,0.8,1.7
Brandon Miller,SF,21,CHO,74,32.2,17.3,4.3,2.4,.440,.373,.524,0.9,0.6,1.8
Tobias Harris,PF,31,PHI,70,33.8,17.2,6.5,3.1,.487,.353,.535,1.0,0.7,1.3
Jordan Clarkson,SG,31,UTA,55,30.6,17.1,3.4,5.0,.413,.294,.469,0.6,0.1,2.7
Myles Turner,C,27,IND,77,27.0,17.1,6.9,1.3,.524,.358,.587,0.5,1.9,1.4
Immanuel Quickley,SG,24,2TM,68,29.2,17.0,3.8,4.9,.434,.395,.530,0.7,0.1,1.5
Immanuel Quickley,SG,24,NYK,30,24.0,15.0,2.6,2.5,.454,.395,.549,0.5,0.1,1.0
Immanuel Quickley,PG,24,TOR,38,33.3,18.6,4.8,6.8,.422,.395,.518,0.9,0.2,1.8
Bogdan Bogdanović,SG,31,ATL,79,30.4,16.9,3.4,3.1,.428,.374,.537,1.2,0.3,1.4
Deandre Ayton,C,25,POR,55,32.4,16.7,11.1,1.6,.570,.100,.571,1.0,0.8,1.8
Michael Porter Jr.,SF,25,DEN,81,31.7,16.7,7.0,1.5,.484,.397,.586,0.5,0.7,1.1
James Harden,PG,34,LAC,72,34.3,16.6,5.1,8.5,.428,.381,.541,1.1,0.8,2.6
Jarrett Allen,C,25,CLE,77,31.7,16.5,10.5,2.7,.634,.000,.634,0.7,1.1,1.6
Chet Holmgren,C,21,OKC,82,29.4,16.5,7.9,2.4,.530,.370,.598,0.6,2.3,1.6
Jonathan Kuminga,PF,21,GSW,74,26.3,16.1,4.8,2.2,.529,.321,.560,0.7,0.5,1.6
Jalen Johnson,SF,22,ATL,56,33.7,16.0,8.7,3.6,.511,.355,.562,1.2,0.8,1.8
Austin Reaves,SG,25,LAL,82,32.1,15.9,4.3,5.5,.486,.367,.568,0.8,0.3,2.1
Shaedon Sharpe,SG,20,POR,32,33.1,15.9,5.0,2.9,.406,.333,.475,0.9,0.4,2.3
Malcolm Brogdon,PG,31,POR,39,28.7,15.7,3.8,5.5,.440,.412,.522,0.7,0.2,1.5
Keldon Johnson,SF,24,SAS,69,29.5,15.7,5.5,2.8,.454,.346,.527,0.7,0.3,1.4
Evan Mobley,PF,22,CLE,50,30.6,15.7,9.4,3.2,.580,.373,.600,0.9,1.4,1.8
De'Andre Hunter,SF,26,ATL,57,29.5,15.6,3.9,1.5,.459,.385,.547,0.7,0.3,1.5
Donte DiVincenzo,SG,27,NYK,81,29.1,15.5,3.7,2.7,.443,.401,.584,1.3,0.4,1.4
Jaden Ivey,SG,21,DET,77,28.8,15.4,3.4,3.8,.429,.336,.492,0.7,0.5,2.5
Malik Monk,SG,25,SAC,72,26.0,15.4,2.9,5.1,.443,.350,.526,0.6,0.5,2.1
Kelly Oubre Jr.,SF,28,PHI,68,30.2,15.4,5.0,1.5,.441,.311,.498,1.1,0.7,1.3
Bojan Bogdanović,PF,34,2TM,57,25.9,15.2,2.7,1.7,.454,.398,.551,0.5,0.1,1.8
Bojan Bogdanović,PF,34,DET,28,32.9,20.2,3.4,2.5,.468,.415,.569,0.8,0.1,2.3
Bojan Bogdanović,SF,34,NYK,29,19.2,10.4,2.0,0.9,.430,.370,.521,0.2,0.0,1.3
Keegan Murray,SF,23,SAC,77,33.6,15.2,5.5,1.7,.454,.358,.548,1.0,0.8,0.8
Derrick White,SG,29,BOS,73,32.6,15.2,4.2,5.2,.461,.396,.578,1.0,1.2,1.5
John Collins,PF,26,UTA,68,28.0,15.1,8.5,1.1,.532,.371,.590,0.6,0.9,1.4
Khris Middleton,SF,32,MIL,55,27.0,15.1,4.7,5.3,.493,.381,.566,0.9,0.3,2.3
Trey Murphy III,SF,23,NOP,57,29.6,14.8,4.9,2.2,.443,.380,.579,0.9,0.5,0.6
OG Anunoby,SF,26,2TM,50,34.0,14.7,4.2,2.1,.489,.382,.577,1.4,0.7,1.6
OG Anunoby,SF,26,TOR,27,33.3,15.1,3.9,2.7,.489,.374,.584,1.0,0.5,1.6
OG Anunoby,SF,26,NYK,23,34.9,14.1,4.4,1.5,.488,.394,.568,1.7,1.0,1.7
Deni Avdija,SF,23,WAS,75,30.1,14.7,7.2,3.8,.506,.374,.560,0.8,0.5,2.1
GG Jackson II,PF,19,MEM,48,25.7,14.6,4.1,1.2,.428,.357,.519,0.6,0.5,1.4
Bennedict Mathurin,SF,21,IND,59,26.1,14.5,4.0,2.0,.446,.374,.507,0.6,0.2,1.6
Marcus Smart,PG,29,MEM,20,30.3,14.5,2.7,4.3,.430,.313,.519,2.1,0.3,3.1
Tim Hardaway Jr.,SF,31,DAL,79,26.8,14.4,3.2,1.8,.402,.353,.510,0.5,0.1,0.9
Dennis Schröder,PG,30,2TM,80,31.1,14.0,3.0,6.1,.435,.375,.509,0.8,0.2,1.9
Dennis Schröder,PG,30,TOR,51,30.6,13.7,2.7,6.1,.442,.350,.511,0.9,0.2,1.6
Dennis Schröder,PG,30,BRK,29,32.0,14.6,3.5,6.0,.424,.412,.507,0.6,0.3,2.4
Rudy Gobert,C,31,MIN,76,34.1,14.0,12.9,1.3,.661,.000,.661,0.7,2.1,1.6
Scoot Henderson,PG,19,POR,62,28.5,14.0,3.1,5.4,.385,.325,.440,0.8,0.2,3.4
Caris LeVert,SG,29,CLE,68,28.8,14.0,4.1,5.1,.421,.325,.487,1.1,0.5,1.7
Aaron Gordon,PF,28,DEN,73,31.5,13.9,6.5,3.5,.556,.290,.584,0.8,0.6,1.4
Norman Powell,SG,30,LAC,76,26.2,13.9,2.6,1.1,.486,.435,.594,0.6,0.3,0.9
Jalen Duren,C,20,DET,61,29.1,13.8,11.6,2.4,.619,.000,.619,0.5,0.8,2.1
Bobby Portis,PF,28,MIL,82,24.5,13.8,7.4,1.3,.508,.407,.562,0.8,0.4,1.1
Saddiq Bey,SF,24,ATL,63,32.7,13.7,6.5,1.5,.416,.316,.497,0.8,0.2,0.9
Jabari Smith Jr.,PF,20,HOU,76,31.9,13.7,8.1,1.6,.454,.363,.537,0.7,0.8,1.2
Gary Trent Jr.,SG,25,TOR,71,28.1,13.7,2.6,1.7,.426,.393,.531,1.1,0.1,0.7
Rui Hachimura,PF,25,LAL,68,26.9,13.6,4.3,1.2,.537,.422,.609,0.6,0.4,0.7
Grayson Allen,SG,28,PHO,75,33.5,13.5,3.9,3.0,.499,.461,.649,0.9,0.6,1.3
Naz Reid,PF,24,MIN,81,24.2,13.5,5.2,1.3,.477,.414,.576,0.8,0.9,1.4
Cameron Johnson,PF,27,BRK,58,27.6,13.4,4.3,2.4,.446,.391,.557,0.8,0.3,1.0
Corey Kispert,SF,24,WAS,80,25.8,13.4,2.8,2.0,.486,.383,.602,0.5,0.2,1.2
Andrew Wiggins,SF,28,GSW,71,27.0,13.2,4.5,1.7,.453,.358,.511,0.6,0.6,1.2
Keyonte George,PG,20,UTA,75,27.0,13.0,2.8,4.4,.391,.334,.482,0.5,0.1,2.5
P.J. Washington,PF,25,2TM,73,30.4,12.9,5.6,1.9,.436,.320,.518,1.0,0.8,1.3
P.J. Washington,PF,25,CHO,44,29.2,13.6,5.3,2.2,.446,.324,.524,0.9,0.7,1.5
P.J. Washington,PF,25,DAL,29,32.2,11.7,6.2,1.5,.421,.314,.508,1.2,0.9,1.0
Scotty Pippen Jr.,PG,23,MEM,21,25.1,12.9,3.2,4.7,.493,.417,.567,1.7,0.5,2.7
Duncan Robinson,SF,29,MIA,68,28.0,12.9,2.5,2.8,.450,.395,.589,0.7,0.2,1.4
Dillon Brooks,SF,28,HOU,72,30.9,12.7,3.4,1.7,.428,.359,.515,0.9,0.1,1.2
Mark Williams,C,22,CHO,19,26.7,12.7,9.7,1.2,.649,0.0,.649,0.8,1.1,0.9
Jalen Suggs,SG,22,ORL,75,27.0,12.6,3.1,2.7,.471,.397,.578,1.4,0.6,1.8
Jrue Holiday,PG,33,BOS,69,32.8,12.5,5.4,4.8,.480,.429,.581,0.9,0.8,1.8
Brook Lopez,C,35,MIL,79,30.5,12.5,5.2,1.6,.485,.366,.583,0.5,2.4,1.0
Josh Giddey,SG,21,OKC,80,25.1,12.3,6.4,4.8,.475,.337,.523,0.6,0.6,2.1
Cam Whitmore,SF,19,HOU,47,18.7,12.3,3.8,0.7,.454,.359,.539,0.6,0.4,1.0
Harrison Barnes,PF,31,SAC,82,29.0,12.2,3.0,1.2,.474,.387,.576,0.7,0.1,0.7
Ayo Dosunmu,SG,24,CHI,76,29.1,12.2,2.8,3.2,.501,.403,.583,0.9,0.5,1.4
Javonte Green,SF,30,CHI,9,25.6,12.2,7.4,0.6,.600,.370,.667,1.1,0.9,0.8
Aaron Nesmith,SF,24,IND,72,27.7,12.2,3.8,1.5,.496,.419,.606,0.9,0.7,0.9
Max Strus,SF,27,CLE,70,32.0,12.2,4.8,4.0,.418,.351,.533,0.9,0.4,1.6
Jonas Valančiūnas,C,31,NOP,82,23.5,12.2,8.8,2.1,.559,.308,.585,0.4,0.8,1.4
Buddy Hield,SF,31,2TM,84,25.7,12.1,3.2,2.8,.436,.386,.565,0.8,0.5,1.2
Buddy Hield,SF,31,IND,52,25.7,12.0,3.2,2.7,.443,.384,.575,0.8,0.6,1.2
Buddy Hield,SG,31,PHI,32,25.8,12.2,3.2,3.0,.426,.389,.550,0.8,0.3,1.3
Tyus Jones,PG,27,WAS,66,29.3,12.0,2.7,7.3,.489,.414,.569,1.1,0.3,1.0
Jaime Jaquez Jr.,SF,22,MIA,75,28.2,11.9,3.8,2.6,.489,.322,.536,1.0,0.3,1.5
Nic Claxton,C,24,BRK,71,29.8,11.8,9.9,2.1,.629,.200,.630,0.6,2.1,1.3
Marvin Bagley III,C,24,2TM,50,21.1,11.7,6.2,1.1,.586,.391,.597,0.4,0.7,1.2
Marvin Bagley III,C,24,DET,26,18.4,10.2,4.5,1.0,.591,.167,.594,0.2,0.5,1.1
Marvin Bagley III,C,24,WAS,24,24.0,13.3,8.1,1.2,.581,.471,.599,0.6,0.8,1.3
Ivica Zubac,C,26,LAC,68,26.4,11.7,9.2,1.4,.649,0.0,.649,0.3,1.2,1.2
Cole Anthony,PG,23,ORL,81,22.4,11.6,3.8,2.9,.435,.338,.496,0.8,0.5,1.6
Jeremy Sochan,PF,20,SAS,74,29.6,11.6,6.4,3.4,.438,.308,.483,0.8,0.5,1.9
Clint Capela,C,29,ATL,73,25.8,11.5,10.6,1.2,.571,.000,.571,0.6,1.5,1.0
Mike Conley,PG,36,MIN,76,28.9,11.4,2.9,5.9,.457,.442,.595,1.2,0.2,1.3
Malik Beasley,SG,27,MIL,79,29.6,11.3,3.7,1.4,.443,.413,.598,0.7,0.1,0.7
Brandon Clarke,PF,27,MEM,6,22.3,11.3,5.3,1.5,.559,.167,.568,0.8,1.0,0.5
Zach Collins,C,26,SAS,69,22.1,11.2,5.4,2.8,.484,.320,.531,0.5,0.8,1.9
De'Anthony Melton,SG,25,PHI,38,26.9,11.1,3.7,3.0,.386,.360,.493,1.6,0.4,1.0
Jakob Poeltl,C,28,TOR,50,26.4,11.1,8.6,2.5,.656,0.0,.656,0.7,1.5,1.5
Russell Westbrook,PG,35,LAC,68,22.5,11.1,5.0,4.5,.454,.273,.486,1.1,0.3,2.1
Daniel Gafford,C,25,2TM,74,24.5,11.0,7.6,1.6,.725,0.0,.725,0.9,2.1,1.0
Daniel Gafford,C,25,WAS,45,26.5,10.9,8.0,1.5,.690,0.0,.690,1.0,2.2,1.0
Daniel Gafford,PF,25,DAL,29,21.5,11.2,6.9,1.6,.780,0.0,.780,0.7,1.9,1.0
Wendell Carter Jr.,C,24,ORL,55,25.6,11.0,6.9,1.7,.525,.374,.600,0.6,0.5,1.2
Eric Gordon,SG,35,PHO,68,27.8,11.0,1.8,2.0,.443,.378,.565,1.0,0.4,1.1
Herbert Jones,SF,25,NOP,76,30.5,11.0,3.6,2.6,.498,.418,.595,1.4,0.8,1.2
Luke Kennard,SG,27,MEM,39,25.6,11.0,2.9,3.5,.448,.450,.617,0.5,0.1,1.4
Luguentz Dort,SF,24,OKC,79,28.4,10.9,3.6,1.4,.438,.394,.557,0.9,0.6,0.9
Jusuf Nurkić,C,29,PHO,76,27.3,10.9,11.0,4.0,.510,.244,.528,1.1,1.1,2.3
Isaiah Stewart,PF,22,DET,46,30.9,10.9,6.6,1.6,.487,.383,.575,0.4,0.8,1.4
Moritz Wagner,C,26,ORL,80,17.7,10.9,4.3,1.2,.601,.330,.636,0.5,0.3,1.2
Bruce Brown,SG,27,2TM,67,27.9,10.8,4.2,2.9,.478,.323,.523,0.9,0.3,1.3
Bruce Brown,SG,27,IND,33,29.7,12.1,4.7,3.0,.475,.327,.527,1.1,0.2,1.2
Bruce Brown,PG,27,TOR,34,26.0,9.6,3.8,2.7,.481,.317,.519,0.7,0.3,1.3
Jake LaRavia,PF,22,MEM,35,23.0,10.8,3.7,1.7,.389,.340,.477,0.8,0.3,1.3
Santi Aldama,PF,23,MEM,61,26.5,10.7,5.8,2.3,.435,.349,.528,0.7,0.9,1.1
Simone Fontecchio,SF,28,2TM,66,24.9,10.5,3.7,1.5,.460,.401,.582,0.7,0.3,1.0
Simone Fontecchio,SF,28,UTA,50,23.2,8.9,3.5,1.5,.450,.391,.577,0.6,0.4,1.0
Simone Fontecchio,SF,28,DET,16,30.3,15.4,4.4,1.8,.479,.426,.592,0.9,0.3,1.1
Spencer Dinwiddie,PG,30,2TM,76,28.3,10.5,2.7,4.7,.392,.337,.489,0.7,0.3,1.2
Spencer Dinwiddie,PG,30,BRK,48,30.7,12.6,3.3,6.0,.391,.320,.480,0.8,0.2,1.3
Spencer Dinwiddie,PG,30,LAL,28,24.2,6.8,1.7,2.4,.397,.389,.521,0.5,0.5,1.0
Jaden McDaniels,SF,23,MIN,72,29.2,10.5,3.1,1.4,.489,.337,.557,0.9,0.6,1.2
Alec Burks,SG,32,2TM,66,18.4,10.4,2.3,1.3,.369,.376,.478,0.4,0.2,0.7
Alec Burks,SG,32,DET,43,21.0,12.6,2.6,1.6,.394,.401,.516,0.5,0.3,0.7
Alec Burks,SG,32,NYK,23,13.5,6.5,1.7,0.9,.307,.301,.383,0.3,0.0,0.7
Dalano Banton,PG,24,2TM,54,19.4,10.3,3.3,2.4,.404,.296,.463,0.6,0.4,1.4
Dalano Banton,PG,24,BOS,24,7.1,2.3,1.5,0.8,.373,.125,.392,0.2,0.1,0.4
Dalano Banton,PG,24,POR,30,29.2,16.7,4.8,3.6,.408,.311,.471,0.9,0.6,2.2
Grant Williams,PF,25,2TM,76,28.0,10.3,4.2,2.3,.456,.375,.560,0.6,0.5,1.4
Grant Williams,PF,25,DAL,47,26.4,8.1,3.6,1.7,.413,.376,.538,0.5,0.6,1.1
Grant Williams,PF,25,CHO,29,30.6,13.9,5.1,3.2,.503,.373,.585,0.7,0.4,1.9
Obi Toppin,PF,25,IND,82,21.1,10.3,3.9,1.6,.573,.403,.661,0.6,0.5,0.8
Kevin Huerter,SG,25,SAC,64,24.4,10.2,3.5,2.6,.443,.361,.553,0.7,0.4,0.8
Reggie Jackson,PG,33,DEN,82,22.2,10.2,1.9,3.8,.431,.359,.499,0.5,0.2,1.3
T.J. McConnell,PG,31,IND,71,18.2,10.2,2.7,5.5,.556,.409,.572,1.0,0.1,1.5
Onyeka Okongwu,C,23,ATL,55,25.5,10.2,6.8,1.3,.611,.333,.642,0.5,1.1,0.8
Kentavious Caldwell-Pope,SG,30,DEN,76,31.6,10.1,2.4,2.4,.460,.406,.566,1.3,0.6,1.0
Alex Caruso,SG,29,CHI,71,28.7,10.1,3.8,3.5,.468,.408,.593,1.7,1.0,1.4
Talen Horton-Tucker,PG,23,UTA,51,19.8,10.1,2.4,3.5,.396,.330,.460,0.9,0.4,1.3
Tre Jones,PG,24,SAS,77,27.8,10.0,3.8,6.2,.505,.335,.558,1.0,0.1,1.5
Caleb Martin,SF,28,MIA,64,27.4,10.0,4.4,2.2,.431,.349,.504,0.7,0.5,1.2
Patrick Williams,PF,22,CHI,43,27.3,10.0,3.9,1.5,.443,.399,.525,0.9,0.8,1.3
Vince Williams Jr.,SG,23,MEM,52,27.6,10.0,5.6,3.4,.446,.378,.550,0.9,0.7,1.8
Josh Richardson,SG,30,MIA,43,25.7,9.9,2.8,2.4,.444,.347,.539,0.6,0.3,0.8
Jalen Smith,C,23,IND,61,17.2,9.9,5.5,1.0,.592,.424,.670,0.3,0.6,0.7
Gordon Hayward,SF,33,2TM,51,24.4,9.8,3.5,3.1,.464,.411,.510,0.8,0.3,1.3
Gordon Hayward,SF,33,CHO,25,31.9,14.5,4.7,4.6,.468,.361,.505,1.1,0.5,2.0
Gordon Hayward,SF,33,OKC,26,17.2,5.3,2.5,1.6,.453,.517,.524,0.5,0.0,0.6
Kelly Olynyk,C,32,2TM,78,22.6,9.8,5.3,4.4,.555,.387,.616,0.9,0.4,1.9
Kelly Olynyk,C,32,UTA,50,20.4,8.1,5.1,4.4,.562,.429,.632,0.7,0.2,1.6
Kelly Olynyk,C,32,TOR,28,26.4,12.7,5.6,4.6,.548,.338,.598,1.3,0.6,2.5
Tari Eason,PF,22,HOU,22,21.8,9.8,7.0,1.2,.466,.360,.513,1.4,0.9,0.9
Nick Richards,C,26,CHO,67,26.3,9.7,8.0,0.8,.691,.000,.691,0.4,1.1,1.1
Lonnie Walker IV,SG,25,BRK,58,17.4,9.7,2.2,1.3,.423,.384,.528,0.6,0.3,0.9
Payton Pritchard,PG,26,BOS,82,22.3,9.6,3.2,3.4,.468,.385,.583,0.5,0.1,0.7
Amen Thompson,SF,21,HOU,62,22.4,9.5,6.6,2.6,.536,.138,.545,1.3,0.6,1.5
Josh Hart,SF,28,NYK,81,33.4,9.4,8.3,4.1,.434,.310,.493,0.9,0.3,1.5
Georges Niang,PF,30,CLE,82,22.3,9.4,3.4,1.2,.449,.376,.567,0.4,0.2,0.9
Isaac Okoro,SF,23,CLE,69,27.3,9.4,3.0,1.9,.490,.391,.577,0.8,0.5,0.8
Tre Mann,PG,22,2TM,41,24.1,9.3,3.6,4.0,.459,.373,.533,1.2,0.1,1.6
Tre Mann,PG,22,OKC,13,9.2,3.8,1.8,1.5,.500,.421,.600,0.2,0.0,0.7
Tre Mann,PG,22,CHO,28,31.0,11.9,4.5,5.2,.453,.364,.524,1.7,0.1,2.0
Malaki Branham,PG,20,SAS,75,21.3,9.2,2.0,2.1,.432,.347,.506,0.4,0.1,1.2
Andrew Nembhard,PG,24,IND,68,25.0,9.2,2.1,4.1,.498,.357,.557,0.9,0.1,1.5
Chris Paul,PG,38,GSW,58,26.4,9.2,3.9,6.8,.441,.371,.525,1.2,0.1,1.3
Brandin Podziemski,SG,20,GSW,74,26.6,9.2,5.8,3.7,.454,.385,.529,0.8,0.2,1.2
Duop Reath,C,27,POR,68,17.9,9.1,3.7,1.0,.461,.359,.549,0.5,0.6,0.8
Sam Hauser,SF,26,BOS,79,22.0,9.0,3.5,1.0,.446,.424,.623,0.5,0.3,0.4
Taurean Prince,PF,29,LAL,78,27.0,8.9,2.9,1.5,.442,.396,.566,0.7,0.4,0.9
Jabari Walker,PF,21,POR,72,23.6,8.9,7.1,1.0,.460,.295,.500,0.6,0.3,0.9
Dereck Lively II,C,19,DAL,55,23.5,8.8,6.9,1.1,.747,.000,.747,0.7,1.4,0.9
Kevin Love,PF,35,MIA,55,16.8,8.8,6.1,2.1,.440,.344,.557,0.3,0.2,0.9
Terance Mann,SG,27,LAC,75,25.0,8.8,3.4,1.6,.515,.348,.587,0.6,0.2,0.6
Ausar Thompson,SF,21,DET,63,25.1,8.8,6.4,1.9,.483,.186,.505,1.1,0.9,1.3
Draymond Green,PF,33,GSW,55,27.1,8.6,7.2,6.0,.497,.395,.566,1.0,0.9,2.5
Al Horford,C,37,BOS,65,26.8,8.6,6.4,2.6,.511,.419,.640,0.6,1.0,0.7
Derrick Jones Jr.,SF,26,DAL,76,23.5,8.6,3.3,1.0,.483,.343,.566,0.7,0.7,0.9
Gradey Dick,SG,20,TOR,60,21.1,8.5,2.2,1.1,.425,.365,.524,0.6,0.0,0.8
Dorian Finney-Smith,PF,30,BRK,68,28.4,8.5,4.7,1.6,.421,.348,.535,0.8,0.6,0.9
Tristan Vukcevic,C,20,WAS,10,15.3,8.5,3.6,1.3,.433,.278,.507,0.5,0.7,1.0
Bilal Coulibaly,SF,19,WAS,63,27.2,8.4,4.1,1.7,.435,.346,.509,0.9,0.8,1.4
Andre Drummond,C,30,CHI,79,17.1,8.4,9.0,0.5,.556,.000,.556,0.9,0.6,1.0
Miles McBride,PG,23,NYK,68,19.5,8.3,1.5,1.7,.452,.410,.572,0.7,0.1,0.4
Marcus Sasser,PG,23,DET,71,19.0,8.3,1.8,3.3,.428,.375,.516,0.6,0.2,1.3
Josh Green,SG,23,DAL,57,26.4,8.2,3.2,2.3,.479,.385,.575,0.8,0.2,1.1
Isaiah Joe,SG,24,OKC,78,18.5,8.2,2.3,1.3,.458,.416,.609,0.6,0.3,0.6
Ziaire Williams,SF,22,MEM,51,20.4,8.2,3.5,1.5,.397,.307,.474,0.7,0.2,1.3
Kyle Lowry,PG,37,2TM,60,28.2,8.1,3.2,4.2,.432,.392,.562,1.0,0.4,1.4
Kyle Lowry,PG,37,MIA,37,28.0,8.2,3.5,4.0,.426,.385,.554,1.1,0.4,1.4
Kyle Lowry,PG,37,PHI,23,28.4,8.0,2.8,4.6,.444,.404,.578,0.9,0.3,1.4
Walker Kessler,C,22,UTA,64,23.3,8.1,7.5,0.9,.654,.211,.660,0.5,2.4,1.0
Moses Moody,SG,21,GSW,66,17.5,8.1,3.0,0.9,.462,.360,.548,0.6,0.4,0.7
Nickeil Alexander-Walker,SG,25,MIN,82,23.4,8.0,2.0,2.5,.439,.391,.560,0.8,0.5,0.9
Sam Merrill,SG,27,CLE,61,17.5,8.0,2.0,1.8,.402,.404,.584,0.3,0.1,0.3
Derrick Rose,PG,35,MEM,24,16.6,8.0,1.9,3.3,.461,.366,.506,0.3,0.1,1.3
Dario Šarić,C,29,GSW,64,17.2,8.0,4.4,2.3,.466,.376,.562,0.5,0.2,1.2
Trayce Jackson-Davis,PF,23,GSW,68,16.6,7.9,5.0,1.2,.702,.000,.702,0.4,1.1,0.7
Danté Exum,PG,28,DAL,55,19.8,7.8,2.7,2.9,.533,.491,.621,0.4,0.1,0.9
Markelle Fultz,PG,25,ORL,43,21.2,7.8,3.2,2.8,.472,.222,.479,1.0,0.3,1.2
Isaiah Hartenstein,C,25,NYK,75,25.3,7.8,8.3,2.5,.644,.333,.645,1.2,1.1,1.2
Jordan Hawkins,SG,21,NOP,67,17.3,7.8,2.2,1.0,.382,.366,.501,0.3,0.1,0.6
Royce O'Neale,SF,30,2TM,79,24.7,7.7,4.8,2.8,.397,.370,.542,0.7,0.6,0.9
Royce O'Neale,SF,30,BRK,49,24.5,7.4,4.5,2.8,.388,.366,.537,0.7,0.6,1.0
Royce O'Neale,SF,30,PHO,30,25.1,8.1,5.2,2.7,.411,.376,.549,0.9,0.5,0.7
RaiQuan Gray,PF,24,SAS,3,13.0,7.7,2.3,2.0,.588,.429,.676,0.3,0.3,0.3
Nikola Jović,PF,20,MIA,46,19.5,7.7,4.2,2.0,.452,.399,.568,0.5,0.3,0.9
Precious Achiuwa,C,24,2TM,74,21.9,7.6,6.6,1.3,.501,.268,.529,0.6,0.9,1.1
Precious Achiuwa,C,24,TOR,25,17.5,7.7,5.4,1.8,.459,.277,.497,0.6,0.5,1.2
Precious Achiuwa,PF,24,NYK,49,24.2,7.6,7.2,1.1,.525,.260,.547,0.6,1.1,1.1
Toumani Camara,PF,23,POR,70,24.8,7.5,4.9,1.2,.450,.337,.516,0.9,0.5,1.2
Cody Martin,SF,28,CHO,28,26.9,7.5,3.9,3.7,.381,.314,.444,1.1,0.6,1.6
Brice Sensabaugh,SF,20,UTA,32,18.3,7.5,3.2,1.7,.390,.296,.468,0.4,0.2,1.5
Cameron Payne,PG,29,2TM,78,16.7,7.4,1.5,2.6,.432,.390,.541,0.5,0.1,0.8
Cameron Payne,PG,29,MIL,47,14.9,6.2,1.3,2.3,.455,.397,.572,0.5,0.1,0.7
Cameron Payne,PG,29,PHI,31,19.4,9.3,1.8,3.1,.413,.382,.514,0.6,0.3,1.1
Christian Braun,SG,22,DEN,82,20.2,7.3,3.7,1.6,.460,.384,.525,0.5,0.4,0.7
Jaden Hardy,SG,21,DAL,73,13.5,7.3,1.8,1.5,.407,.362,.492,0.3,0.1,0.8
Taylor Hendricks,PF,20,UTA,40,21.4,7.3,4.6,0.8,.450,.379,.560,0.7,0.8,0.7
Paul Reed,C,24,PHI,82,19.4,7.3,6.0,1.3,.540,.368,.561,0.8,1.0,0.8
Lamar Stevens,PF,26,2TM,38,14.7,7.2,3.3,0.7,.450,.304,.479,0.6,0.6,0.6
Lamar Stevens,PF,26,BOS,19,6.4,2.8,1.6,0.4,.467,.375,.500,0.3,0.3,0.5
Lamar Stevens,PF,26,MEM,19,23.0,11.5,5.1,1.1,.446,.289,.474,0.9,0.9,0.8
Johnny Juzang,SG,22,UTA,20,18.6,7.2,1.8,1.2,.464,.416,.609,0.2,0.1,0.7
Kevin Knox,SF,24,DET,31,18.1,7.2,2.4,0.7,.462,.330,.546,0.4,0.2,0.7
Trey Lyles,PF,28,SAC,58,20.0,7.2,4.4,1.2,.445,.384,.576,0.3,0.3,0.7
Jose Alvarado,PG,25,NOP,56,18.4,7.1,2.3,2.1,.412,.377,.525,1.1,0.3,0.7
Naji Marshall,SF,26,NOP,66,19.0,7.1,3.6,1.9,.463,.387,.542,0.7,0.2,1.0
Landry Shamet,SG,26,WAS,46,15.8,7.1,1.3,1.2,.431,.338,.527,0.5,0.2,0.7
James Wiseman,C,22,DET,63,17.3,7.1,5.3,0.9,.613,.000,.613,0.2,0.6,1.0
Vasilije Micić,PG,30,2TM,60,19.6,7.0,1.5,4.4,.430,.279,.488,0.5,0.1,1.7
