player,pos,age,team_id,g,mp,pts,trb,ast,fg_pct,fg3_pct,efg_pct,stl,blk,tov
Harry Giles,C,25,2TM,23,4.3,2.4,1.3,0.3,.460,.214,.490,0.1,0.1,0.3
Harry Giles,C,25,BRK,16,5.1,3.4,1.6,0.4,.500,.273,.534,0.1,0.2,0.4
Harry Giles,C,25,LAL,7,2.7,0.3,0.6,0.0,.167,.000,.167,0.1,0.0,0.0
AJ Griffin,SF,20,ATL,20,8.6,2.4,0.9,0.3,.290,.256,.371,0.1,0.1,0.4
Mouhamadou Gueye,PF,25,TOR,11,10.9,2.4,2.1,0.5,.289,.000,.289,0.3,1.6,1.1
Joe Harris,SG,32,DET,16,10.6,2.4,0.8,0.6,.359,.333,.487,0.2,0.1,0.3
Cory Joseph,PG,32,GSW,26,11.4,2.4,1.2,1.6,.359,.310,.461,0.2,0.1,0.5
Xavier Moon,SG,29,LAC,14,8.5,2.4,1.3,1.5,.326,.118,.348,0.2,0.2,0.4
Jamaree Bouyea,PG,24,2TM,9,10.6,2.3,2.1,1.2,.357,.111,.375,0.1,0.0,1.0
Jamaree Bouyea,PG,24,POR,6,9.5,1.7,1.7,1.3,.238,.000,.238,0.0,0.0,1.3
Jamaree Bouyea,PG,24,SAS,3,12.7,3.7,3.0,1.0,.714,1.000,.786,0.3,0.0,0.3
Amari Bailey,PG,19,CHO,10,6.5,2.3,0.9,0.7,.333,.125,.354,0.3,0.0,0.4
Isaiah Mobley,PF,24,CLE,10,7.2,2.3,1.0,0.6,.417,.300,.479,0.2,0.0,0.2
Chuma Okeke,SF,25,ORL,47,9.2,2.3,1.7,0.4,.357,.280,.460,0.2,0.1,0.3
Olivier Sarr,C,24,OKC,15,6.5,2.3,2.4,0.1,.579,.333,.632,0.0,0.5,0.2
Dereon Seabron,SG,23,NOP,6,9.2,2.3,1.2,0.8,.308,.500,.346,0.3,0.2,0.0
Cole Swider,SF,24,MIA,18,4.8,2.3,0.4,0.3,.395,.333,.526,0.1,0.1,0.4
Udoka Azubuike,C,24,PHO,16,7.1,2.2,2.0,0.2,.696,0.0,.696,0.1,0.4,0.3
